SEXO,EDAD,NIVEL_LOGRO,PREG1,PREG2,PREG3,PREG4,PREG5,PREG6,PREG7,PREG8,PREG9,PREG10,PERMUTACION_ID,CLUSTER_ID
0,-0.4761021998638143,2,1,1,0,0,1,1,1,0,0,1,0,57
1,-0.4761021998638143,2,1,0,0,0,0,1,1,1,0,1,1,13
1,-0.4761021998638143,1,0,1,0,1,1,0,1,0,0,0,2,89
1,1.0818238468109702,1,0,0,0,1,1,0,1,0,1,0,3,93
0,-0.4761021998638143,0,0,0,0,1,1,0,0,0,0,0,4,37
0,1.0818238468109702,0,0,0,1,0,0,0,0,0,0,0,5,43
0,-2.0340282465385986,3,1,1,1,1,1,1,1,1,1,1,6,92
1,1.0818238468109702,2,0,0,1,1,1,1,1,0,1,0,3,93
1,1.0818238468109702,2,1,1,1,1,0,0,1,1,0,1,7,49
1,1.0818238468109702,2,0,1,1,1,1,0,1,0,0,1,6,92
0,1.0818238468109702,1,1,0,0,0,1,0,0,1,0,1,8,48
1,1.0818238468109702,1,0,1,1,1,0,0,1,0,0,0,7,49
1,1.0818238468109702,0,1,0,0,0,0,0,0,0,0,0,1,13
0,-0.4761021998638143,3,1,1,0,1,1,1,1,0,1,1,3,93
0,-0.4761021998638143,3,1,0,1,1,0,1,1,1,1,1,9,31
0,-2.0340282465385986,2,1,0,0,1,0,1,1,0,0,1,9,31
0,-2.0340282465385986,2,1,0,1,1,1,1,0,1,1,0,10,41
1,-0.4761021998638143,3,1,0,1,1,0,1,1,1,1,1,6,92
0,-0.4761021998638143,0,0,0,0,0,0,0,1,0,0,0,11,2
0,-0.4761021998638143,1,1,1,0,0,1,0,0,0,1,0,12,23
1,-0.4761021998638143,2,0,0,1,0,1,0,1,0,1,1,9,31
0,-2.0340282465385986,0,0,0,0,0,0,1,0,0,0,0,13,5
0,1.0818238468109702,1,1,1,0,0,0,0,0,0,0,1,14,99
0,-2.0340282465385986,2,0,1,0,1,1,0,0,0,1,1,15,11
0,1.0818238468109702,1,1,0,0,0,0,0,1,1,0,1,9,31
1,-0.4761021998638143,1,1,1,0,0,0,0,0,1,1,0,14,99
0,1.0818238468109702,0,0,0,0,1,0,0,0,0,0,1,16,86
1,1.0818238468109702,1,1,0,1,0,0,0,1,0,0,0,17,53
1,1.0818238468109702,2,1,0,1,0,0,1,1,0,0,1,9,31
0,1.0818238468109702,3,1,1,1,1,1,1,1,1,0,1,9,31
1,-2.0340282465385986,2,1,1,0,1,1,1,0,0,0,1,18,70
0,1.0818238468109702,1,0,0,1,1,1,0,0,0,1,0,19,76
0,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,20,46
1,1.0818238468109702,2,0,0,1,1,1,1,1,1,1,0,7,49
1,1.0818238468109702,0,0,0,1,0,1,0,0,0,0,0,21,21
1,-0.4761021998638143,3,1,0,1,1,1,1,1,0,1,1,9,31
0,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,6,92
0,-0.4761021998638143,2,1,0,1,0,0,0,1,1,0,1,20,46
1,-0.4761021998638143,2,1,1,1,0,1,0,0,1,0,1,18,70
0,-2.0340282465385986,1,1,1,0,1,0,1,0,0,0,0,10,41
0,1.0818238468109702,0,0,0,1,1,0,0,0,0,0,0,22,35
0,-0.4761021998638143,2,1,1,1,0,1,1,1,0,0,1,23,38
0,-0.4761021998638143,2,0,0,1,0,1,1,0,0,1,1,24,79
1,-0.4761021998638143,2,0,1,0,1,1,0,0,1,0,1,25,34
0,1.0818238468109702,3,1,1,1,1,1,1,1,1,1,1,20,46
1,1.0818238468109702,1,1,0,1,0,1,0,0,0,0,1,26,8
0,-0.4761021998638143,1,0,0,1,0,1,0,1,1,0,0,3,93
1,-2.0340282465385986,1,1,0,0,1,0,1,0,0,0,0,10,41
1,1.0818238468109702,2,0,0,1,1,1,0,1,1,0,1,9,31
0,1.0818238468109702,3,1,1,1,1,1,1,1,0,1,1,24,79
1,1.0818238468109702,0,0,0,0,0,0,0,1,0,0,0,9,31
1,-0.4761021998638143,1,0,1,1,0,0,0,1,0,0,0,27,29
1,1.0818238468109702,2,0,1,1,1,0,1,0,1,1,1,28,9
1,-0.4761021998638143,1,1,0,0,0,0,1,0,1,0,1,20,46
1,-0.4761021998638143,0,0,0,0,0,1,0,1,0,0,0,3,93
1,-0.4761021998638143,2,0,1,1,0,0,1,1,0,1,0,7,49
0,-0.4761021998638143,0,0,0,1,0,0,0,1,0,0,0,7,49
0,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,24,79
0,-0.4761021998638143,1,0,0,1,0,1,0,0,0,0,1,29,63
0,-0.4761021998638143,2,0,0,0,1,1,1,1,1,1,0,3,93
0,-0.4761021998638143,2,0,1,0,1,1,0,1,1,0,1,30,50
0,-2.0340282465385986,3,1,1,1,1,1,1,1,1,1,1,16,86
1,-0.4761021998638143,2,1,0,0,1,1,1,0,0,1,0,4,37
0,-0.4761021998638143,1,0,1,0,0,0,0,0,0,1,1,31,15
0,-0.4761021998638143,2,0,1,1,1,1,0,1,0,1,0,3,93
1,1.0818238468109702,0,0,0,1,0,0,0,0,0,0,0,32,26
0,1.0818238468109702,2,0,0,0,1,1,0,1,1,1,1,24,79
1,1.0818238468109702,1,0,0,1,0,1,0,1,1,0,0,27,29
0,-0.4761021998638143,2,0,1,1,1,0,0,0,1,1,1,16,86
1,1.0818238468109702,1,0,0,0,1,0,0,1,0,1,1,33,88
1,1.0818238468109702,0,0,0,1,0,0,0,0,0,0,0,32,26
0,1.0818238468109702,3,1,1,0,1,1,1,1,1,1,1,24,79
0,1.0818238468109702,1,1,0,0,0,1,0,1,0,0,1,30,50
1,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,33,88
